地区名,クラブ名,クラブ名（カタカナ）,選択肢（地区名：クラブ名：クラブ名（カタカナ））,R7年度登録クラブ,R8年度登録申請クラブ,R8年度登録申請_タイムスタンプ
日野市,一般社団法人平山台文化スポーツクラブ,イッパンシャダンホウジン　ヒラヤマダイブンカスポーツクラブ,日野市 : 一般社団法人平山台文化スポーツクラブ : イッパンシャダンホウジン　ヒラヤマダイブンカスポーツクラブ,1,0,
東村山市,特定非営利活動法人多摩湖スポーツクラブ,トクテイヒエイリカツドウホウジン　タマコスポーツクラブ,東村山市 : 特定非営利活動法人多摩湖スポーツクラブ : トクテイヒエイリカツドウホウジン　タマコスポーツクラブ,0,0,
東村山市,すわスポーツクラブ,スワスポーツクラブ,東村山市 : すわスポーツクラブ : スワスポーツクラブ,0,0,
国分寺市,こくぶんじ地域クラブ,コクブンジチイキクラブ,国分寺市 : こくぶんじ地域クラブ : コクブンジチイキクラブ,1,0,
国立市,くにたちエール,クニタチエール,国立市 : くにたちエール : クニタチエール,1,0,
福生市,福生市地域スポーツクラブ「タマリバ」,フッサシチイキスポーツクラブ「タマリバ」,福生市 : 福生市地域スポーツクラブ「タマリバ」 : フッサシチイキスポーツクラブ「タマリバ」,0,0,
狛江市,狛江市総合型スポーツ・文化クラブ「狛○（WA）くらぶ」,コマエシソウゴウガタスポーツ・ブンカクラブ　コマワクラブ,狛江市 : 狛江市総合型スポーツ・文化クラブ「狛○（WA）くらぶ」 : コマエシソウゴウガタスポーツ・ブンカクラブ　コマワクラブ,0,0,
東大和市,地域スポーツクラブ はぴねすまいる東大和,チイキスポーツクラブ　ハピネスマイルヒガシヤマト,東大和市 : 地域スポーツクラブ はぴねすまいる東大和 : チイキスポーツクラブ　ハピネスマイルヒガシヤマト,1,0,
清瀬市,一般社団法人総合型地域スポーツクラブ清瀬キラリ,イッパンシャダンホウジン　ソウゴウガタチイキスポーツクラブキヨセキラリ,清瀬市 : 一般社団法人総合型地域スポーツクラブ清瀬キラリ : イッパンシャダンホウジン　ソウゴウガタチイキスポーツクラブキヨセキラリ,0,0,
東久留米市,特定非営利活動法人アリアンテ,トクテイヒエイリカツドウホウジン　アリアンテ,東久留米市 : 特定非営利活動法人アリアンテ : トクテイヒエイリカツドウホウジン　アリアンテ,0,0,
武蔵村山市,よってかっしぇクラブ,ヨッテカッシェ クラブ,武蔵村山市 : よってかっしぇクラブ : ヨッテカッシェ クラブ,0,0,
多摩市,桜美林大学総合型地域スポーツクラブ,オウビリンダイガクソウゴウガタチイキスポーツクラブ,多摩市 : 桜美林大学総合型地域スポーツクラブ : オウビリンダイガクソウゴウガタチイキスポーツクラブ,0,0,
稲城市,特定非営利活動法人iクラブ（稲城総合型地域スポーツクラブ）,トクテイヒエイリカツドウホウジン　アイクラブ　（イナギソウゴウガタチイキスポーツクラブ）,稲城市 : 特定非営利活動法人iクラブ（稲城総合型地域スポーツクラブ） : トクテイヒエイリカツドウホウジン　アイクラブ　（イナギソウゴウガタチイキスポーツクラブ）,0,0,
羽村市,一般社団法人はむら総合型スポーツクラブはむすぽ,イッパンシャダンホウジン　ハムラソウゴウガタスポーツクラブハムスポ,羽村市 : 一般社団法人はむら総合型スポーツクラブはむすぽ : イッパンシャダンホウジン　ハムラソウゴウガタスポーツクラブハムスポ,1,0,
あきる野市,一般社団法人あきる野総合スポーツクラブ「ASport(アスポルト)」,イッパンシャダンホウジン　アキルノソウゴウスポーツクラブ　「アスポルト」,あきる野市 : 一般社団法人あきる野総合スポーツクラブ「ASport(アスポルト)」 : イッパンシャダンホウジン　アキルノソウゴウスポーツクラブ　「アスポルト」,0,0,
あきる野市,五日市総合型地域スポーツクラブ,イツカイチソウゴウガタチイキスポーツクラブ,あきる野市 : 五日市総合型地域スポーツクラブ : イツカイチソウゴウガタチイキスポーツクラブ,0,0,
西東京市,西東京市総合型地域スポーツクラブ・にしはらスポーツクラブ,ニシトウキョウシソウゴウガタチイキスポーツクラブ・ニシハラスポーツクラブ,西東京市 : 西東京市総合型地域スポーツクラブ・にしはらスポーツクラブ : ニシトウキョウシソウゴウガタチイキスポーツクラブ・ニシハラスポーツクラブ,1,0,
西東京市,一般社団法人 ココスポ東伏見,イッパンシャダンホウジン　ココスポヒガシフシミ,西東京市 : 一般社団法人 ココスポ東伏見 : イッパンシャダンホウジン　ココスポヒガシフシミ,0,0,
瑞穂町,ミズホ笑夢（エム）スポーツクラブ,ミズホエムスポーツクラブ,瑞穂町 : ミズホ笑夢（エム）スポーツクラブ : ミズホエムスポーツクラブ,0,0,
日の出町,日の出町総合型地域スポーツ・文化クラブ「ひのでまちくらぶ」,ヒノデマチソウゴウガタチイキスポーツ・ブンカクラブ「ヒノデマチクラブ」,日の出町 : 日の出町総合型地域スポーツ・文化クラブ「ひのでまちくらぶ」 : ヒノデマチソウゴウガタチイキスポーツ・ブンカクラブ「ヒノデマチクラブ」,0,0,
檜原村,ひのはらスポレククラブ,ヒノハラスポレククラブ,檜原村 : ひのはらスポレククラブ : ヒノハラスポレククラブ,0,0,
大島町,地域スポーツ文化交流クラブＯｓｈｉｍａ,チイキスポーツブンカコウリュウクラブオオシマ,大島町 : 地域スポーツ文化交流クラブＯｓｈｉｍａ : チイキスポーツブンカコウリュウクラブオオシマ,0,0,
利島村,利島村体育協会,トシマムラタイイクキョウカイ,利島村 : 利島村体育協会 : トシマムラタイイクキョウカイ,0,0,
新島村,新島地域スポーツクラブ,ニイジマチイキスポーツクラブ,新島村 : 新島地域スポーツクラブ : ニイジマチイキスポーツクラブ,0,0,
神津島村,神津島スポーツクラブ,コウヅシマスポーツクラブ,神津島村 : 神津島スポーツクラブ : コウヅシマスポーツクラブ,0,0,
八丈町,八丈町スポーツクラブ,ハチジョウマチスポーツクラブ,八丈町 : 八丈町スポーツクラブ : ハチジョウマチスポーツクラブ,0,0,
小笠原村,父島フットボールクラブ,チチジマフットボールクラブ,小笠原村 : 父島フットボールクラブ : チチジマフットボールクラブ,0,0,
新宿区,東京チッキー＆クラちゃんクラブ,トウキョウチッキーアンドクラチャンクラブ,新宿区 : 東京チッキー＆クラちゃんクラブ : トウキョウチッキーアンドクラチャンクラブ,0,1,2025-05-22 16:09:11
